,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,Aazmale Aazmale,Taxi No. 9211 (Original Motion Picture Soundtrack),Shekhar Ravjiani,294000,0,0,
0,Ab Kya Bataun (Manto),Manto," Shubha Joshi, Daniel B.George",275000,0,1,
0,Ab Mujhe Koi,Ishqiya,Rekha Bhardwaj,340000,0,2,
0,Ab Tohe Jane Na Dungi,Bajirao Mastani,"Payal Dev, Shreyas Puranik",233456,0,4,
0,Abhi Mujh Mein Kahin,Agneepath,Ajay-Atul,364000,5,14,
0,Abhi Toh Party Shuru Hui Hai,Khoobsurat,Badshah,179000,0,1,
0,Achche Din,Fanney Khan,Amit Trivedi,245000,0,5,
0,Achilles Last Stand,Mothership (Remastered),Led Zeppelin,630000,0,0,
0,Across The Universe (Remastered),Let It Be (Remastered),The Beatles,228000,0,0,
0,Act Naturally (Remastered),Help! (Remastered),The Beatles,150000,0,1,
0,Adhura Main,Mukkabaaz,Deepak Thakur,177005,0,2,
0,Ae Ajnabi,Dil Se,A. R. Rahman,349000,0,2,
0,Ae Bhai Zara Dekh Ke Chalo,Mera Naam Joker (Original Motion Picture Soundtrack),Manna Dey,362000,1,1,
0,Ae Dil Hai Mushkil Title Track,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Arijit Singh,269000,5,25,
0,Ae Watan (Female) (Raazi),Raazi,Sunidhi Chauhan,211000,0,2,
0,Ae Watan (Male) (Raazi),Raazi,Arijit Singh,223000,5,21,
0,"Ae Zindagi Gale Laga Le (Take, 1)",Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,171000,5,16,
0,"Ae Zindagi Gale Laga Le (Take, 2)",Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,185000,0,4,
0,Aey Jawanon,Gangs Of Wasseypur,Baal Party,114000,0,3,
0,Afghan Jalebi (Dumbek Version),Phantom,Akhtar Channal,230000,0,0,
0,Afghan Jalebi (Film Version),Phantom,Akhtar Channal,224000,0,0,
0,Afghan Jalebi (Ya Baba),Phantom,Asrar,230000,0,0,
0,Agar Main Kahoon,Lakshya (Original Motion Picture Soundtrack),Shankar Ehsaan Loy,292000,5,15,
0,Agar Tum Galat Raaste Par Chaloge (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Shah Rukh Khan,28000,1,0,
0,Agar Tum Saath Ho,Tamasha,Arijit Singh,341000,5,16,
0,Agar Yeh Tujhe Pyar Karti (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Shah Rukh Khan,27000,1,0,
0,Agent Vinod (Theme),Agent Vinod,Pritam,277000,1,0,
0,Aigiri Nandini,Rock @ Coke Studio India,Ram SampathÂ ,246000,0,0,
0,Aigiri Nandini,Coke Studio India Season 3: Episode 2,Ram SampathÂ ,246000,0,1,
0,Ainvayi Ainvayi (Dilli Club Mix),Band Baaja Baaraat,"Master Salim,Sunidhi Chauhan, Remix By: Abhijit Vaghani",225000,1,1,
0,Ainvayi Ainvayi,Band Baaja Baaraat,"Salim Merchant,Sunidhi Chauhan",267000,0,1,
0,Aisa Jadoo (Remix),Khakee,Sunidhi Chauhan,319000,1,1,
0,Aisa Jadoo,Khakee,Sunidhi Chauhan,203000,0,1,
0,Aisa Pahli Bar Hua Hain (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Kajol,57000,1,0,
0,Aisi Bani,Rock @ Coke Studio India,Clinton Cerejo,460000,0,0,
0,Aisi Bani,Coke Studio India Season 3: Episode 3,Clinton Cerejo,460000,0,2,
0,Aisi Gehraiyaan Aisi Tanhaiyaan,Zindagi Na Milegi Dobara,Farhan Akhtar,88000,0,5,
0,Aisi Sazaa,Gulaal,Shilpa Rao,292000,0,0,
0,Ajab Si,Om Shanti Om,K.K.,241000,5,15,
0,Akash&#39;s Love Theme,Dil Chahta Hai,Mike Harvey,130000,1,0,
0,Ala Barfi (Kaju Barfi),Barfi! (Original Motion Picture Soundtrack),Pritam,341000,0,2,
0,Ala Barfi,Barfi! (Original Motion Picture Soundtrack),Pritam,319000,5,22,
0,Albela Sajan,Bajirao Mastani,"Shashi Suman, Kunal Pandit, Prithvi Gandharva, Kanika Joshi, Rashi Raagga, Geetikka Manjrekar",208587,0,2,
0,Alizeh,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Arijit Singh,282000,0,0,
0,All Apologies,In Utero (20th Anniversary Remaster),Nirvana,233000,0,1,
0,All My Love,Mothership (Remastered),Led Zeppelin,355000,0,2,
0,All Together Now (Remastered),Yellow Submarine (Remastered),The Beatles,130000,0,2,
0,All You Need Is Love (Remastered),Magical Mystery Tour (Remastered),The Beatles,230000,0,1,
0,All You Need Is Love (Remastered),Yellow Submarine (Remastered),The Beatles,231000,0,1,
0,Allah Duhai Hai - Remix (Remix),Race 2,Atif Aslam,253000,0,1,
0,Allah Duhai Hai,Race 2,Atif Aslam,255000,5,5,
0,Allah Hafiz,Bhool Bhulaiyaa,K.K.,270000,0,1,
0,Allah Hi Reham,My Name Is Khan (Original Motion Picture Soundtrack),Shankar Ehsaan Loy,241000,0,0,
0,Alvida,Rangoon,Arijit Singh,303000,0,1,
0,Alvida,D-Day,Nikhil D&#39;souza,302000,0,1,
0,Ambarsariya,Fukrey,Sona Mohapatra,248000,5,14,
0,And I Love Her (Remastered),A Hard Day&#39;s Night (Remastered),The Beatles,149000,0,0,
0,Andhadhun Title Track,Andhadhun,Raftaar,174000,5,24,
0,Andhadun Theme 01 (Andhadhun),Andhadhun,Amit Trivedi,255000,0,3,
0,Andhadun Theme 02 (Andhadhun),Andhadhun,Amit Trivedi,160000,0,2,
0,Ang Lag Ja Balma,Mera Naam Joker (Original Motion Picture Soundtrack),Asha Bhosle,280000,1,1,
0,Ang Laga De,Goliyon Ki Raasleela Ram-leela,Aditi Paul &amp; Shail Hada,327288,5,5,
0,Ang Laga De,Ram-Leela (Original Motion Picture Soundtrack),Aditi Paul,327000,0,1,Yes
0,Anjaana Anjaani Ki Kahani,Anjaana Anjaani,Monali Thakur,285000,0,1,
0,Anjaana Anjaani,Anjaana Anjaani,Vishal Dadlani,354000,0,3,
0,Ankahee,Lootera,Amitabh Bhattacharya,275000,0,4,
0,"Another Brick in the Wall, Pt. 1",The Wall,Pink Floyd,192000,0,4,
0,"Another Brick in the Wall, Pt. 2",The Wall,Pink Floyd,238000,0,7,
0,"Another Brick in the Wall, Pt. 3",The Wall,Pink Floyd,74000,0,2,
0,Another Girl (Remastered),Help! (Remastered),The Beatles,125000,0,1,
0,Another One Bites The Dust,Greatest Hits 1 &amp; 2,Queen,215000,0,0,
0,Another Part of Me (2012 Remaster),Bad (Remastered),Michael Jackson,234000,0,1,
0,Any Colour You Like,The Dark Side of the Moon,Pink Floyd,206000,0,3,
0,Any Time At All (Remastered),A Hard Day&#39;s Night (Remastered),The Beatles,131000,0,1,
0,Apun Jaise Tapori (Munnabhai MBBS / Soundtrack Version),Munnabhai MBBS (OST),Vinod Rathod,331000,0,2,
0,Aretrain Chali Gaye (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Saha Rukh Khan,334000,1,0,
0,Arziyan,Delhi-6,Kailash Kher,519000,5,22,
0,Asalaam-e-Ishqum,Gunday,"Bappi Lahiri,Neha Bhasin",278000,0,1,
0,Aunty Ji,Ek Main Aur Ekk Tu,Ash King,274000,0,4,
0,Aur Ho,Rockstar,Alma Ferovic,332000,5,31,
0,Awaara,7 Khoon Maaf,Vishal Bhardwaj,332000,0,2,
0,Awaarapan Banjarapan (Instrumental),Jism (Original Motion Picture Soundtrack),M. M. Kreem,169000,1,0,
0,"Awaarapan Banjarapan, Pt. 1",Jism (Original Motion Picture Soundtrack),K. K,421000,1,0,
0,"Awaarapan Banjarapan, Pt. 2",Jism (Original Motion Picture Soundtrack),M. M. Kreem,256000,0,0,
0,Awara Hoon,Awara (Original Motion Picture Soundtrack),Mukesh,183000,0,1,
0,Ay Hairathe,Guru (Original Motion Picture Soundtrack),A.R. Rahman,369000,0,0,
0,Aye Bachchu,Ghajini,Suzanne,226000,5,16,
0,"Aye Khuda (Remix By Dj Chetas,Dj Nyk)",Paathshaala,Salim Merchant,328000,1,0,
0,Aye Khuda (Remix),Murder 2,Mithoon,215000,1,0,
0,Aye Khuda,Paathshaala,Salim Merchant,280000,5,5,
0,Aye Khuda,Murder 2,Mithoon,410000,0,2,
0,Aye Manya,Shootout At Wadala,Meet Bros Anjjan,296000,0,1,
0,Aye Saaye Mere,New York,Pankaj Awasthi,346000,0,0,
0,Aye Saiyan,Babumoshai Bandookbaaz (Original Motion Picture Soundtrack),Orunima Bhattacharya,223000,0,1,
0,Aye Udi Udi Udi,Saathiya,Adnan Sami,276000,5,14,
0,Azeem-O-Shaan Shahenshah,Jodhaa Akbar,Mohamed Aslam &amp; Bonnie Chakraborty,354429,5,19,
0,B NÂ B,Bunty Aur Babli,"Blaaze,Shankar Mahadevan,Loy Mendonsa",218000,0,3,
0,Baaki Rab Pe Chhod De,Lucknow Central,Arman Hasan,201000,0,0,
0,Baal Khade,Khoobsurat,Sunidhi Chauhan,239000,0,0,
0,Baari Barsi,Band Baaja Baaraat,"Harshdeep Kaur,Labh Janjua, Salim Merchant",282000,1,0,
0,Baarish,Bollywood Unplugged,Mohammed Irfan,378000,0,1,
0,Baatein Ye Kabhi Na (Female),Khamoshiyan (Original Motion Picture Soundtrack),Jeet Gannguli,289000,0,0,
0,Baatein Ye Kabhi Na (Male),Khamoshiyan (Original Motion Picture Soundtrack),Arijit Singh,289000,0,0,
0,Baawra,Kill Dil,"Loy Mendonsa,Shankar Mahadevan, Nihira Joshi Deshpande, Gulzar",393000,0,0,
0,Baawre (Remix),Luck By Chance,Loy Mendonsa,264000,1,1,
0,Baawre,Luck By Chance,Loy Mendonsa,308000,0,1,
0,Baazi Laga,Guru (Original Motion Picture Soundtrack),Madhushree,298000,0,1,
0,Baba Bolta Hain Bas Ho Gaya,Sanju,Ranbir Kapoor,285000,0,1,
0,Babaji Ki Booti,Go Goa Gone (Original Motion Picture Soundtrack),Sachin Jigar,226000,0,0,
0,Babe I&#39;m Gonna Leave You,Mothership (Remastered),Led Zeppelin,402000,0,1,
0,Babe I&#39;m Gonna Leave You,Led Zeppelin (Deluxe Edition),Led Zeppelin,402000,0,1,
0,Babli Badmaash (Remix by Gourav Das Gupta &amp; Roshan Balu),Shootout At Wadala,Anu Malik,288000,1,0,
0,Babli Badmaash,Shootout At Wadala,Anu Malik,266000,0,1,
0,Baby Be Mine,Thriller,Michael Jackson,260000,0,0,
0,Baby Ko Bass Pasand Hai,Sultan,Shalmali Kholgade,253000,0,2,
0,"Baby, You&#39;re A Rich Man (Remastered)",Magical Mystery Tour (Remastered),The Beatles,181000,0,0,
0,Bach Ke Bakshy,Detective Byomkesh Bakshy,"Gowri Jayakumar,Big Deal,Thomson Andrews,Trevor,Rap By: Smokey The Ghosht,Craz Professa",328000,0,2,
0,Bachchan Pande Ka Tashan,Tashan,Akshay Kumar,16000,1,1,
0,Bachpan (Hunterrr),Hunterrr,Amit Trivedi,326000,5,22,
0,Bachpan Kahan?,Prem Ratan Dhan Payo,Himesh Reshammiya,242000,0,0,
0,Back In Black,Back In Black,AC/DC,255000,0,1,
0,Bad (2012 Remaster),Bad (Remastered),Michael Jackson,247000,0,0,
0,Bad Bad Girls,Chak De India,Anushka Manchanda,219000,0,0,
0,Bad,Number Ones,Michael Jackson,246000,0,0,
0,Badal Pe Paon Hai,Chak De India,Hema Sardesai,243000,0,1,
0,Badal Uthiya (Reprise),Matru Ki Bijlee Ka Mandola (Original Motion Picture Soundtrack),Vishal Bhardwaj,198000,1,3,
0,Badal Uthiya,Matru Ki Bijlee Ka Mandola (Original Motion Picture Soundtrack),Vishal Bhardwaj,198000,0,1,
0,Badan Pe Sitare (From &quot;Fanney Khan&quot;),Badan Pe Sitare (From &quot;Fanney Khan&quot;),Sonu Nigam,217000,5,27,
0,Badass Babuaa (Bareilly Ki Barfi),Barielly Ki Barfi,Sameer Uddin,167000,0,3,
0,Badi Dheere Jali,Ishqiya,Rekha Bhardwaj,421000,0,1,
0,Badla,Blackmail,Amit Trivedi,220000,0,2,
0,Badra Bahaar,Queen,Amit Trivedi,214000,5,31,
0,Badri Badariya,Rock @ Coke Studio India,Mame Khan,426000,5,8,
0,Badri Ki Dulhania (Title Track),Badrinath Ki Dulhania,Monali Thakur,206000,0,5,
0,Badtameez Dil,Yeh Jawaani Hai Deewani,Benny Dayal,252000,0,5,
0,Bahut Hua Samman,Mukkabaaz,Swaroop Khan,273397,5,18,
0,Bahut Khoob 8 Bit,Gangs Of Wasseypur - 2,Kids Of Musahar Village,176000,1,2,
0,Bahut Khoob,Gangs Of Wasseypur - 2,Kids Of Musahar Village,120000,0,4,
0,Baina,Coke Studio India Season 3: Episode 3,Clinton Cerejo,544000,0,1,
0,Bairaagi (Bareilly Ki Barfi),Barielly Ki Barfi,Samira Koppikar,252000,0,0,
